index,node_label,COG-x,COG-y,COG-z
1,aHIP_rh,26,-14,-20
2,pHIP_rh,28,-32,-8
3,lAMY_rh,28,-2,-22
4,mAMY_rh,22,-6,-16
5,THA_DP_rh,16,-30,2
6,THA_VP_rh,14,-22,2
7,THA_VA_rh,8,-10,6
8,THA_DA_rh,12,-22,12
9,NAc_shell_rh,12,10,-6
10,NAc_core_rh,14,18,-2
11,pGP_rh,24,-8,-2
12,aGP_rh,18,0,-2
13,aPUT_rh,24,8,-2
14,pPUT_rh,30,-6,4
15,aCAU_rh,14,14,6
16,pCAU_rh,14,4,16
17,aHIP_lh,-24,-14,-20
18,pHIP_lh,-26,-32,-8
19,lAMY_lh,-26,-2,-22
20,mAMY_lh,-20,-6,-16
21,THA_DP_lh,-14,-30,2
22,THA_VP_lh,-12,-22,2
23,THA_VA_lh,-6,-10,6
24,THA_DA_lh,-10,-22,12
25,NAc_shell_lh,-10,10,-6
26,NAc_core_lh,-12,18,-2
27,pGP_lh,-22,-8,-2
28,aGP_lh,-16,0,-2
29,aPUT_lh,-22,8,-2
30,pPUT_lh,-28,-6,4
31,aCAU_lh,-12,14,6
32,pCAU_lh,-12,4,16
